country,lost_revenue,bookings_cancelled
AGO,273117.17,205
ALB,892,2
AND,4159.99,5
ARE,28128.48,43
ARG,24340.24,54
ARM,497.1,2
AUS,38159.41,107
AUT,104778.52,230
AZE,4603.78,9
BEL,220006.8,474
BEN,864,3
BGD,5077.94,9
BGR,5944.91,12
BHR,1683.8,4
BIH,1308,3
BLR,6038.57,9
BRA,386224.74,830
CHE,245661.13,428
CHL,7054.4400000000005,16
CHN,169047.97,462
CIV,1426,2
CN,124580.23,254
COL,8041.74,23
CPV,11761.480000000001,12
CRI,380.70000000000005,1
CYP,3675.15,11
CZE,16715.96,37
DEU,556243.1,1218
DNK,58858.19,109
DOM,5491.700000000001,8
DZA,15219.63,21
ECU,4902,8
EGY,7131.16,11
ESP,1057328.77,2177
EST,11870.64,18
ETH,401.2,1
FIN,32588,69
FJI,405.99,1
FRA,927816.76,1934
FRO,8029,4
GAB,942,2
GBR,1172172.19,2453
GEO,12871.22,15
GGY,772.4000000000001,3
GHA,2317.2,2
GIB,6302.22,11
GLP,840,2
GNB,523.6,1
GRC,16196.47,35
HKG,8227.5,26
HND,79,1
HRV,14155.57,25
HUN,34940.74,77
IDN,8426.3,24
IMN,963.9,2
IND,19429.69,35
IRL,412097.62,832
IRN,19309.19,23
ISL,2119.3999999999996,4
ISR,64486.409999999996,169
ITA,550431.9,1333
JEY,2575.37,8
JOR,892.8,3
JPN,8453.47,28
KAZ,4214.4,5
KEN,1381.44,2
KHM,792,2
KOR,16916.34,55
KWT,3233,6
LBN,4333.56,9
LIE,394.4,1
LTU,3606.1,7
LUX,60226.020000000004,109
LVA,5601.29,9
MAC,5089.52,15
MAR,77434.26,109
MCO,414.8,1
MDV,6178.1,9
MEX,3784.29,10
MKD,822.8,2
MLT,2463.14,5
MNE,2079,2
MOZ,13137.61,19
MUS,855,1
MYS,718,3
MYT,1480.5,2
NGA,13147.17,21
NIC,417,1
NLD,168373.8,387
NOR,113222.88,181
NULL,15391.960000000001,67
NZL,1809.72,6
OMN,1377,4
PAK,5859.38,9
PER,2425.46,6
PHL,10574.6,25
POL,116738.73,215
PRI,888,2
PRT,8578737.81,27504
QAT,8039.91,11
ROU,84246.67,134
RUS,141444.91,239
SAU,27346.77,33
SEN,11552.76,8
SGP,3296.01,16
SRB,1426.47,3
SVK,10405.06,24
SVN,6330.94,15
SWE,110521.79,227
SYC,525,1
THA,9214.48,18
TJK,3384,8
TMP,387.6,1
TUN,10681.13,19
TUR,47089.54,102
TWN,4965.95,14
TZA,1234,3
UKR,12465.73,20
UMI,600,1
URY,4562.71,9
USA,218041.14,501
UZB,969.89,2
VEN,5395.4,12
VGB,301.5,1
VNM,705.1,2
ZAF,9903.39,31
ZMB,214.2,1
ZWE,619.2,2
